,date_sold,Date_Sold_id
1153,2017-03-17,250
1162,2017-03-18,251
1172,2017-03-20,252
1176,2017-03-21,253
1183,2017-03-23,254
1185,2017-03-24,255
1192,2017-03-25,256
1203,2017-03-27,257
1212,2017-03-28,258
1217,2017-03-29,259
1221,2017-03-30,260
1223,2017-03-31,261
1235,2017-04-13,262
1237,2017-04-14,263
1238,2017-04-16,264
1239,2017-04-18,265
1244,2017-04-20,266
1247,2017-04-21,267
1248,2017-04-22,268
1255,2017-04-24,269
1259,2017-04-25,270
1260,2017-04-26,271
1266,2017-04-27,272
1268,2017-04-28,273
1276,2017-04-29,274
1284,2017-04-30,275
1285,2017-05-13,276
1296,2017-05-15,277
1306,2017-05-16,278
1308,2017-05-17,279
1312,2017-05-18,280
1317,2017-05-19,281
1319,2017-05-20,282
1330,2017-05-23,283
1341,2017-05-24,284
1345,2017-05-25,285
1349,2017-05-26,286
1360,2017-05-27,287
1369,2017-05-29,288
1377,2017-05-30,289
1385,2017-05-31,290
1389,2017-06-13,291
1391,2017-06-14,292
1394,2017-06-15,293
1399,2017-06-16,294
1406,2017-06-17,295
1416,2017-06-18,296
1417,2017-06-19,297
1420,2017-06-21,298
1422,2017-06-22,299
1423,2017-06-23,300
1429,2017-06-24,301
1441,2017-06-26,302
1445,2017-06-27,303
1448,2017-06-28,304
1450,2017-06-30,305
1452,2017-07-14,306
1455,2017-07-15,307
1458,2017-07-16,308
1460,2017-07-17,309
1461,2017-07-18,310
1465,2017-07-19,311
1466,2017-07-20,312
1469,2017-07-21,313
1475,2017-07-22,314
1481,2017-07-24,315
1483,2017-07-25,316
1486,2017-07-26,317
1492,2017-07-27,318
1494,2017-07-28,319
1499,2017-07-29,320
1509,2017-07-30,321
1510,2017-07-31,322
1517,2017-08-13,323
1518,2017-08-14,324
1520,2017-08-15,325
1526,2017-08-16,326
1530,2017-08-17,327
1532,2017-08-18,328
1534,2017-08-19,329
1540,2017-08-21,330
1543,2017-08-22,331
1552,2017-08-23,332
1554,2017-08-24,333
1556,2017-08-25,334
1560,2017-08-26,335
1565,2017-08-28,336
1569,2017-08-29,337
1572,2017-08-30,338
1573,2017-08-31,339
1577,2017-09-13,340
1583,2017-09-14,341
1584,2017-09-15,342
1589,2017-09-16,343
1597,2017-09-18,344
1601,2017-09-19,345
1606,2017-09-20,346
1613,2017-09-21,347
1616,2017-09-22,348
1626,2017-09-23,349
1635,2017-09-24,350
1640,2017-09-25,351
1645,2017-09-26,352
1654,2017-09-27,353
1655,2017-09-28,354
1658,2017-09-29,355
1663,2017-09-30,356
1671,2017-01-10,357
1672,2017-02-10,358
1681,2017-03-10,359
1688,2017-04-10,360
1689,2017-05-10,361
1692,2017-06-10,362
1695,2017-07-10,363
1696,2017-08-10,364
1700,2017-10-10,365
1707,2017-11-10,366
1716,2017-10-13,367
