Postcode,suburb,LHD
2008,DARLINGTON,Sydney
2009,PYRMONT,Sydney
2010,DARLINGHURST,South East Sydney
2010,EAST SYDNEY,South East Sydney
2010,STRAWBERRY HILLS,South East Sydney
2010,SURRY HILLS,South East Sydney
2010,Surry Hills,South East Sydney
2011,ELIZABETH BAY,South East Sydney
2011,KINGS CROSS,South East Sydney
2011,POTTS POINT,South East Sydney
2011,RUSHCUTTERS BAY,South East Sydney
2011,WOOLLOOMOOLOO,South East Sydney
2015,ALEXANDRIA,Sydney
2015,BEACONSFIELD,Sydney
2015,EVELEIGH,Sydney
2016,REDFERN,Sydney
2017,WATERLOO,Sydney
2017,ZETLAND,Sydney
2018,EASTLAKES,South East Sydney
2018,ROSEBERY,Sydney
2019,BANKSMEADOW,South East Sydney
2019,BOTANY,South East Sydney
2019,EAST BOTANY,South East Sydney
2020,MASCOT,South East Sydney
2021,CENTENNIAL PARK,South East Sydney
2021,MOORE PARK,South East Sydney
2021,PADDINGTON,South East Sydney
2022,BONDI JUNCTION,South East Sydney
2022,QUEENS PARK,South East Sydney
2023,BELLEVUE HILL,South East Sydney
2024,BRONTE,South East Sydney
2024,WAVERLEY,South East Sydney
2025,WOOLLAHRA,South East Sydney
2026,BONDI,South East Sydney
2026,BONDI BEACH,South East Sydney
2026,BONDI NORTH,South East Sydney
2026,BONDI SOUTH,South East Sydney
2026,TAMARAMA,South East Sydney
2027,Darling Point,South East Sydney
2027,DARLING POINT,South East Sydney
2027,EDGECLIFF,South East Sydney
2027,POINT PIPER,South East Sydney
2028,DOUBLE BAY,South East Sydney
2029,ROSE BAY,South East Sydney
2030,DOVER HEIGHTS,South East Sydney
2030,ROSE BAY NORTH,South East Sydney
2030,VAUCLUSE,South East Sydney
2030,WATSONS BAY,South East Sydney
2031,CLOVELLY,South East Sydney
2031,RANDWICK,South East Sydney
2031,RANDWICK NORTH,South East Sydney
2031,RANDWICK SOUTH,South East Sydney
2031,ST PAULS,South East Sydney
2032,DACEYVILLE,South East Sydney
2032,KENSINGTON SOUTH,South East Sydney
2032,KINGSFORD,South East Sydney
2033,KENSINGTON,South East Sydney
2034,COOGEE,South East Sydney
2034,COOGEE BAY,South East Sydney
2034,COOGEE SOUTH,South East Sydney
2035,MAROUBRA,South East Sydney
2035,MAROUBRA BAY,South East Sydney
